componentid,Stockwerk,Raum,Bemerkung,FI,Leiter,Gruppe,Sicherung,Relais,Dimmer,Ausgang,Eingang,Kabel Info,Typ,Info ,Beschr. ,Stockwerk,SPS Position im array
161,Obergeschoß,Elternbad,Dose WC,,L2,O-DO04,S16,R202,,R3M5Sl0Pr4,,,,Dose,WC,OG,
162,Obergeschoß,Elternbad,Licht Spiegel Waschbecken (Verbraucher noch nicht angeschlossen),,L3,O-LI05,S10,R21,,R3M1Sl0Pr9,,,,Licht,Spiegel Waschbecken (Verbraucher noch nicht angeschlossen),OG,
163,Keller,Flur,Licht Hauptlicht,,L1,K-LI01,S20,R5,,R0M2Sl0Pr4,,,LS,Licht,Hauptlicht,EG,
164,Erdgeschoss,Aussen,Licht Terrasse Ost,,L2,E-LIA02,S16,R50,,R0M8Sl0Pr4,,,LS,Licht,Terrasse Ost,EG,88
165,Obergeschoß,Elternbad,Dose Südwand,,L1,O-DO07,S3,R23,,R3M1Sl0Pr6,,,,Dose,Südwand,OG,
166,Erdgeschoss,Aussen,Licht Terrasse Ost,,L2,E-LIA02,S16,R51,,R0M8Sl0Pr5,,,LS,Licht,Terrasse Ost,EG,89
167,Obergeschoß,Elternbad,Dose Südwand 1,,,,S10,R25,,R3M1Sl0Pr5,,,,Dose,Südwand 1,OG,
168,Erdgeschoss,Aussen,Dose Terrasse NordOst Dose Aussen,,L2,E-LIA02,S16,R52,,R0M8Sl0Pr6,,,DO,Dose,Terrasse NordOst Dose Aussen,EG,91
169,Erdgeschoss,Aussen,Licht TerrasseNordOst 2x,,L2,E-LIA02,S16,R53,,R0M8Sl0Pr7,,,LS,Licht,TerrasseNordOst 2x,EG,
170,Erdgeschoss,Aussen,Licht außen weg Süden,,L2,E-LIA02,S16,R54,,R0M8Sl0Pr8,,,LS,Licht,außen weg Süden,EG,
171,Obergeschoß,Elternbad,Dose Waschbecken links (Verbraucher noch nicht angeschlossen),,L1,O-DO07,S10,R28,,R3M1Sl0Pr2,,,,Dose,Waschbecken links (Verbraucher noch nicht angeschlossen),OG,
172,Obergeschoß,Elternbad,Dose Badewanne (Verbraucher noch nicht angeschlossen),,,,S14,R300,,R3M5Sl0Pr14,,,,Dose,Badewanne (Verbraucher noch nicht angeschlossen),OG,
173,Obergeschoß,Elternbad,Dose Badewanne2 (Verbraucher noch nicht angeschlossen),,,,S14,R301,,R3M5Sl0Pr15,,,,Dose,Badewanne2 (Verbraucher noch nicht angeschlossen),OG,
174,Obergeschoß,Elternbad,Dose Waschbecken rechts,,L1,O-DO07,S14,R303,,R3M7Sl0Pr01,,,,Dose,Waschbecken rechts,OG,
175,Keller,Heizraum,RESERVE,,L3,K-HEIZ03,S1,R55,,R0M8Sl0Pr9,,,DO,Dose,RESERVE,KG,
176,Obergeschoß,Elternbad,Licht LED WC Elternbad,,L3,O-LI05,S5,R51,,R2M4Sl0Pr0,,,,Licht,LED WC Elternbad,OG,73
177,Keller,Leer,Reserve,,,,S1,R56,,R0M8Sl0Pr10,,,,,,KG,
178,Obergeschoß,Elternbad,Licht WC Haupt,,L3,O-LI05,S5,R50,,R2M4Sl0Pr1,,,,Licht,WC Haupt,OG,17
179,Keller,Leer,Reserve,,,,S1,R57,,R0M8Sl0Pr11,,,,,,KG,
